,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Maxillo Facial (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Medicon Catalog (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Orthofix (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Stratec Catalog (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Stryker Catalog (Fixators (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Forensic (Medical Equipment and Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Analyzer (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Basic X-Ray Equipment (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Cabinet (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Estimation casts,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,First Aid (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Fridge (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Grinding Machines (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Measuring (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Medicon Catalog (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Scalpel (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Stratec Catalog (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tables (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Trays (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Trolley (Forensic (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Haemodialysis (Medical Equipment and Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Hemodialysis machi,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Laboratory Equipment (Medical Equipment and Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Agglutination Tile,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Alarm Devices (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Analyser CRP,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Analysis,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Basket (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Beakers For Laboratory (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Bottle (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Brushes (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Burners (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Cabinet (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Centrifuge & Accessories,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Chronometer (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Colorimeter,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Container (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Counters (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Counting Chamber,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Cylinders For Measuring,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Deioniser,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Diamond Marker,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Dispenser (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Erlenmeyer,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Funnel (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Genexpert,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Glucometer,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Hemoglobinometer,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Holder (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Incubator (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Miconazole (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Microloop (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Micropipettor,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Microscope,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Pipette (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Pipette Pump,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Rod Glass,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,ROLLER MIXER,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Rotator,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Scale (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Slide Box,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Slides For Microscopy (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Staining Items For Laboratory,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Stand For Pipettes,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Sterilization (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Teat,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Thermometer (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Transfusion Material (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Trays (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tubes (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Vacuum blood sampling (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Vibrator For Microtitration,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Water (Laboratory Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Water Bath,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Wbc Cout Pipette,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Linen & Operative  Fie,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Apron Surgical (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Cap Surgical (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Coat,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Draw sheets (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Gown Surgical (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Masks (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,"Material, Surgical","Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Set Urine Drainage (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Surgical drape (Linen & Operative  Fie),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Surgical Material,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Trousers Surgical,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Tunic Surgical,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Medical Equipment (Medical Equipment and Instruments),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Adhesive tape (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Ampullarium,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Back Packs (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Bedpan,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Beds (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,BOARD TRANSFER,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Breast feeding,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Brushes (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Case (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,CERVICAL COLLAR,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Containers (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Couch,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Crutch,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Dispenser (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,ECG MACHINE,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,ELECTROCARDIOGRAPH,"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Files (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,First Aid (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Fridge (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
,Glass (Medical Equipment (Medical Equipment and Instruments)),"Medical, Health","Medical Renewable, Equipment And Instruments Items","Medical, Health"
